,Description,Rent
0,WF Credit Card AUTO PAY 260102 OOOOO OOOOO,0
1,WF Credit Card AUTO PAY 260101 OOOOO OOOOO,0
2,ZELLE FROM OOOOO ON 12/26 REF # COF2H8DF53VH KNEESHEEKEE,0
3,FEDERAL NATIONAL PAYROLL 251226 939238644926DV3 OOOOO,0
4,BENEFIT PAYMENT EDI PYMNTS OOOOO OOOOO,0
5,BENEFIT PAYMENT EDI PYMNTS OOOOO OOOOO,0
6,FEDERAL NATIONAL PAYROLL 251212 771079747757DV3 OOOOO,0
7,VANGUARD BUY INVESTMENT 120325 OOOOO OOOOO,0
8,WF Credit Card AUTO PAY 251202 OOOOO OOOOO,0
9,WF Credit Card AUTO PAY 251201 OOOOO OOOOO,0
10,ZELLE TO OOOOO ON 11/28 REF # WFCT0ZJPSK7J AMAZON,0
11,FEDERAL NATIONAL PAYROLL 251128 671069963167DV3 OOOOO,0
12,FEDERAL NATIONAL PAYROLL 251114 597074639499DV3 OOOOO,0
13,WF Credit Card AUTO PAY 251102 OOOOO OOOOO,0
14,WF Credit Card AUTO PAY 251102 OOOOO OOOOO,0
15,FEDERAL NATIONAL PAYROLL 251031 090089911267DV3 OOOOO,0
16,FEDERAL NATIONAL PAYROLL 251017 732063753454DV3 OOOOO,0
17,FEDERAL NATIONAL PAYROLL 251003 666085947407DV3 OOOOO,0
18,WF Credit Card AUTO PAY 251002 OOOOO OOOOO,0
19,WF Credit Card AUTO PAY 251001 OOOOO OOOOO,0
20,FEDERAL NATIONAL PAYROLL 250919 631075178823DV3 OOOOO,0
21,FEDERAL NATIONAL PAYROLL 250919 631075178824DV3 OOOOO,0
22,VANGUARD BUY INVESTMENT 091525 OOOOO OOOOO,0
23,WELLS FARGO REWARDS,0
24,FEDERAL NATIONAL PAYROLL 250905 452565949438DV3 OOOOO,0
25,WF Credit Card AUTO PAY 250902 OOOOO OOOOO,0
26,FEDERAL NATIONAL PAYROLL 250822 669078945226DV3 OOOOO,0
27,BOARD OF REGENTS Georgia Te 081625 OOOOO,0
28,ZELLE FROM OOOOO ON 08/18 REF # PP0Z62CR8H HAPPY BIRTHDAY,0
29,TRAVELERS PER INSUR 250813 9564791 OOOOO,0
30,TRAVELERS PER INSUR 250811 8789492 OOOOO,0
31,ONLINE TRANSFER REF #IB0TH45PQR TO WELLS FARGO ACTIVE CASH VISA CARD XXXXXXXXXXXX5691 ON 08/10/25,0
32,FEDERAL NATIONAL PAYROLL 250808 541077497284DV3 OOOOO,0
33,FEDERAL NATIONAL PAYROLL 250808 541077497285DV3 OOOOO,0
34,WF Credit Card AUTO PAY 250803 OOOOO OOOOO,0
35,WF Credit Card AUTO PAY 250801 OOOOO OOOOO,0
36,VANGUARD BUY INVESTMENT 072925 OOOOO OOOOO,0
37,FEDERAL NATIONAL DIRECT DEP 250725 646096457570DV3 OOOOO,0
38,FEDERAL NATIONAL DIRECT DEP 250711 939036059377DV3 OOOOO,0
39,ST. OF MARYLAND TAX REFUND 070825 000962553247738 OOOOO,0
40,WF Credit Card AUTO PAY 250702 OOOOO OOOOO,0
41,WF Credit Card AUTO PAY 250701 OOOOO OOOOO,0
42,FEDERAL NATIONAL DIRECT DEP 250627 514099350661DV3 OOOOO,0
43,VENMO PAYMENT 250622 1043025080333 OOOOO,1
44,FEDERAL NATIONAL DIRECT DEP 250613 931937615998DV3 OOOOO,0
45,WF Credit Card AUTO PAY 250602 OOOOO OOOOO,0
46,WF Credit Card AUTO PAY 250602 OOOOO OOOOO,0
47,FEDERAL NATIONAL DIRECT DEP 250530 937235704225DV3 OOOOO,0
48,VENMO PAYMENT 250622 1043025080333 OOOOO,1
49,FEDERAL NATIONAL DIRECT DEP 250516 668083540456DV3 OOOOO,0
50,BOARD OF REGENTS Georgia Te 050325 OOOOO,0
51,WF Credit Card AUTO PAY 250502 OOOOO OOOOO,0
52,FEDERAL NATIONAL DIRECT DEP 250502 671067179550DV3 OOOOO,0
53,WF Credit Card AUTO PAY 250501 OOOOO OOOOO,0
54,FEDERAL NATIONAL DIRECT DEP 250418 621072664118DV3 OOOOO,0
55,MOBILE DEPOSIT : REF NUMBER :618170187807,0
56,VENMO PAYMENT 250410 1041472055875 OOOOO,1
57,FANNIE MAE DIRECT DEP 250404 490075914784P22 OOOOO,0
58,WF Credit Card AUTO PAY 250402 OOOOO OOOOO,0
59,WF Credit Card AUTO PAY 250401 OOOOO OOOOO,0
60,IRS TREAS 310 TAX REF 040125 XXXXXXXXXX00908 REF*OOOOO*ANDOVE*12/2024*TAX REFUND*30\,0
61,FANNIE MAE DIRECT DEP 250321 592058991092P22 OOOOO,0
62,ZELLE TO OOOOO ON 03/13 REF #PP0YM6M5S3 TT MARYLAND,0
63,ZELLE FROM OOOOO ON 03/09 REF # BACEA5XC4I7T,0
64,FANNIE MAE DIRECT DEP 250307 676081756499P22 OOOOO,0
65,VENMO PAYMENT 250305 1040700088878 OOOOO,1
66,WF Credit Card AUTO PAY 250302 OOOOO OOOOO,0
67,WF Credit Card AUTO PAY 250302 OOOOO OOOOO,0
68,CAMBRIDGE TAX 250223 5177162 OOOOO,0
69,INVOICE CLOUD EPAYMENT 250223 5177129 OOOOO,0
70,FANNIE MAE DIRECT DEP 250221 555093800464P22 OOOOO,0
71,FANNIE MAE DIRECT DEP 250207 764096584047P22 OOOOO,0
72,VANGUARD BUY INVESTMENT 020325 OOOOO OOOOO,0
73,WF Credit Card AUTO PAY 250202 OOOOO OOOOO,0
74,WF Credit Card AUTO PAY 250202 OOOOO OOOOO,0
75,FANNIE MAE DIRECT DEP 250124 090086202977P22 OOOOO,0
76,VENMO PAYMENT 250110 1039547754209 OOOOO,0
77,FANNIE MAE DIRECT DEP 250110 633094596462P22 OOOOO,0
78,VENMO PAYMENT 250108 1039507346029 OOOOO,1
79,BOARD OF REGENTS Georgia Te 010225 OOOOO,0
80,WF Credit Card AUTO PAY 250102 OOOOO OOOOO,0
81,WF Credit Card AUTO PAY 250101 90496783313038 OOOOO,0
82,FANNIE MAE DIRECT DEP 241227 794095968300P22 OOOOO,0
83,VANGUARD BUY INVESTMENT 122324 OOOOO OOOOO,0
84,WELLS FARGO REWARDS,0
85,BENEFIT PAYMENT EDI PYMNTS OOOOO OOOOO,0
86,ZELLE FROM OOOOO ON 12/16 REF # COFXOZ28ILLP,0
87,ZELLE FROM OOOOO ON 12/13 REF # COFAE2MWIWG2,0
88,FANNIE MAE DIRECT DEP 241213 676080547167P22 OOOOO,0
89,ZELLE FROM OOOOO ON 12/04 REF # COFBWR1F6ZUE,0
90,WF Credit Card AUTO PAY 241202 OOOOO OOOOO,0
91,WF Credit Card AUTO PAY 241202 OOOOO OOOOO,0
92,VANGUARD BUY INVESTMENT 112924 OOOOO OOOOO,0
93,MOBILE DEPOSIT : REF NUMBER :608010580825,0
94,VENMO PAYMENT 241128 1038544084601 OOOOO,1
95,FANNIE MAE DIRECT DEP 241129 504095267521P22 OOOOO,0
96,ZELLE FROM OOOOO ON 11/20 REF # COFONWFLTNTT,0
97,FANNIE MAE DIRECT DEP 241115 671064926312P22 OOOOO,0
98,ZELLE FROM OOOOO ON 11/13 REF # COFWGIOXLANZ,0
99,WF Credit Card AUTO PAY 241103 OOOOO OOOOO,0
100,WF Credit Card AUTO PAY 241101 OOOOO OOOOO,0
101,FANNIE MAE DIRECT DEP 241101 933134613527P22 OOOOO,0
102,ZELLE FROM OOOOO ON 10/31 REF # COF2J993S7XO,0
103,ZELLE FROM OOOOO ON 10/23 REF # COFMP3I1UBY0,0
104,FANNIE MAE DIRECT PAY 241022 24102210007731 OOOOO,0
105,FANNIE MAE DIRECT DEP 241018 944832527671P22 OOOOO,0
