Date,Transaction Type,Description,Debit,Credit,Check Number,Account Running Balance
12/30/2025,DEBIT,VISA DDA PUR AP 403629     CSAA INSURANCE G   P PRS    800 922 8228  * CA,214.87,,,34716.67
12/29/2025,DEBIT,VERIZON PAYMENTREC ,74.99,,,34931.54
12/26/2025,DEBIT,WASHINGTON GAS PAYMENT ,110.93,,,35006.53
12/24/2025,CREDIT,FEDERAL NATIONAL PAYROLL ,,2924.76,,35117.46
12/22/2025,DEBIT,DDA WITHDRAW AP A486       BRANCH BANKING              ALEXANDRIA    * VA,103.5,,,32192.7
12/19/2025,INT,IOD INTEREST PAID ,,0.26,,32296.2
12/19/2025,CREDIT,AGRI TREAS 310   FED SAL ,,3544.72,,32295.94
12/16/2025,DEBIT,CROSSCOUNTRY MORTGAGE ,4243.11,,,28751.22
12/15/2025,DIRECTDEBIT,CHASE CREDIT CRD AUTOPAY ,3679.9,,,32994.33
12/11/2025,CREDIT,FEDERAL NATIONAL PAYROLL ,,2924.74,,36674.23
12/10/2025,DEBIT,BECU CK WEBXFR TRANSFER ,500,,,33749.49
12/10/2025,DIRECTDEBIT,PEPCO PAYMENTUS BILLPAY ,172.89,,,34249.49
12/5/2025,CREDIT,AGRI TREAS 310   FED SAL ,,3544.72,,34422.38
12/1/2025,DEBIT,VERIZON PAYMENTREC ,74.99,,,30877.66
12/1/2025,DEBIT,WASHINGTON GAS PAYMENT ,34.05,,,30952.65
12/1/2025,DEBIT,VISA DDA PUR AP 403629     CSAA INSURANCE G   P PRS    800 922 8228  * CA,214.87,,,30986.7
11/26/2025,CREDIT,FEDERAL NATIONAL PAYROLL ,,2924.75,,31201.57
11/26/2025,CREDIT,FSAFEDS EDI PYMNTS ,,0,,28276.82
11/24/2025,DEBIT,BECU CK WEBXFR TRANSFER ,500,,,28276.82
11/21/2025,DEBIT,BECU CK WEBXFR TRANSFER ,2500,,,28776.82
11/20/2025,INT,IOD INTEREST PAID ,,0.2,,31276.82
11/20/2025,DIRECTDEP,AGRI TREAS 310   FED SAL ,,11291.69,,31276.62
11/14/2025,DEBIT,FREEDOM MTG PYMTS ,4243.11,,,19984.93
11/13/2025,DIRECTDEBIT,CHASE CREDIT CRD AUTOPAY ,3862.22,,,24228.04
11/13/2025,CREDIT,FEDERAL NATIONAL PAYROLL ,,2924.75,,28090.26
11/12/2025,DIRECTDEBIT,PEPCO PAYMENTUS BILLPAY ,205.13,,,25165.51
11/4/2025,DEBIT,WSSC CONSUMER WE PAYMENT ,214.92,,,25370.64
10/30/2025,DEBIT,VISA DDA PUR AP 403629     CSAA INSURANCE G   P PRS    800 922 8228  * CA,214.87,,,25585.56
10/30/2025,CREDIT,FEDERAL NATIONAL PAYROLL ,,2983.05,,25800.43
10/29/2025,DEBIT,VERIZON PAYMENTREC ,74.99,,,22817.38
10/24/2025,DEBIT,WASHINGTON GAS PAYMENT ,25.16,,,22892.37
10/20/2025,INT,IOD INTEREST PAID ,,0.21,,22917.53
10/16/2025,CREDIT,FEDERAL NATIONAL PAYROLL ,,2924.74,,22917.32
10/15/2025,DEBIT,FREEDOM MTG PYMTS ,4243.11,,,19992.58
10/14/2025,DIRECTDEBIT,CHASE CREDIT CRD AUTOPAY ,4452.21,,,24235.69
10/14/2025,DIRECTDEBIT,PEPCO PAYMENTUS BILLPAY ,225.03,,,28687.9
10/10/2025,CREDIT,AGRI TREAS 310   FED SAL ,,2473.55,,28912.93
10/3/2025,DEBIT,BECU CK WEBXFR TRANSFER ,1000,,,26439.38
10/2/2025,CREDIT,FEDERAL NATIONAL PAYROLL ,,2253.42,,27439.38
9/30/2025,DEBIT,VERIZON PAYMENTREC ,74.99,,,25185.96
9/30/2025,DEBIT,VISA DDA PUR AP 403629     CSAA INSURANCE G   P PRS    800 922 8228  * CA,214.87,,,25260.95
9/29/2025,DEBIT,WASHINGTON GAS PAYMENT ,17.15,,,25475.82
9/26/2025,CREDIT,AGRI TREAS 310   FED SAL ,,3131.08,,25492.97
9/19/2025,INT,IOD INTEREST PAID ,,0.19,,22361.89
9/18/2025,CREDIT,FEDERAL NATIONAL PAYROLL ,,2122.38,,22361.7
9/15/2025,DIRECTDEBIT,CHASE CREDIT CRD AUTOPAY ,1761.3,,,20239.32
9/15/2025,DEBIT,FREEDOM MTG PYMTS ,4243.11,,,22000.62
9/12/2025,CREDIT,AGRI TREAS 310   FED SAL ,,3131.08,,26243.73
9/11/2025,DIRECTDEBIT,PEPCO PAYMENTUS BILLPAY ,294.83,,,23112.65
9/4/2025,CREDIT,FEDERAL NATIONAL PAYROLL ,,2122.4,,23407.48
9/2/2025,DEBIT,BECU CK WEBXFR TRANSFER ,1000,,,21285.08
9/2/2025,DEBIT,VISA DDA PUR AP 469216     AAA INSURANCE               800 922 8228  * CA,214.87,,,22285.08
8/29/2025,DEBIT,VERIZON PAYMENTREC ,74.99,,,22499.95
8/29/2025,CREDIT,AGRI TREAS 310   FED SAL ,,3131.08,,22574.94
8/28/2025,DEBIT,WASHINGTON GAS PAYMENT ,28.03,,,19443.86
8/21/2025,CREDIT,FEDERAL NATIONAL PAYROLL ,,2122.4,,19471.89
8/20/2025,INT,IOD INTEREST PAID ,,0.17,,17349.49
8/15/2025,CREDIT,AGRI TREAS 310   FED SAL ,,3131.08,,17349.32
8/14/2025,DEBIT,FREEDOM MTG PYMTS ,4243.11,,,14218.24
8/13/2025,DIRECTDEBIT,CHASE CREDIT CRD AUTOPAY ,4058.88,,,18461.35
8/12/2025,DEBIT,BECU CK WEBXFR TRANSFER ,1500,,,22520.23
8/12/2025,DIRECTDEBIT,PEPCO PAYMENTUS BILLPAY ,331.37,,,24020.23
8/7/2025,CREDIT,FEDERAL NATIONAL PAYROLL ,,2162.51,,24351.6
8/1/2025,CREDIT,AGRI TREAS 310   FED SAL ,,3131.08,,22189.09
7/30/2025,DEBIT,VISA DDA PUR AP 469216     AAA INSURANCE               800 922 8228  * CA,214.87,,,19058.01
7/29/2025,DEBIT,VERIZON PAYMENTREC ,74.99,,,19272.88
7/24/2025,DEBIT,WASHINGTON GAS PAYMENT ,27.29,,,19347.87
7/23/2025,CREDIT,FEDERAL NATIONAL DIRECT DEP ,,2160.82,,19375.16
7/18/2025,INT,IOD INTEREST PAID ,,0.14,,17214.34
7/18/2025,CREDIT,AGRI TREAS 310   FED SAL ,,3131.08,,17214.2
7/14/2025,DIRECTDEBIT,CHASE CREDIT CRD AUTOPAY ,2476.08,,,14083.12
7/14/2025,DEBIT,FREEDOM MTG PYMTS ,4243.11,,,16559.2
7/11/2025,DIRECTDEBIT,PEPCO PAYMENTUS BILLPAY ,219.13,,,20802.31
7/10/2025,CREDIT,FEDERAL NATIONAL DIRECT DEP ,,2160.83,,21021.44
7/3/2025,CREDIT,AGRI TREAS 310   FED SAL ,,3131.08,,18860.61
7/1/2025,DEBIT,VERIZON PAYMENTREC ,74.99,,,15729.53
6/26/2025,DEBIT,WASHINGTON GAS PAYMENT ,27.84,,,15804.52
6/26/2025,CREDIT,FEDERAL NATIONAL DIRECT DEP ,,2160.84,,15832.36
6/23/2025,DEBIT,BECU CK WEBXFR TRANSFER ,500,,,13671.52
6/20/2025,INT,IOD INTEREST PAID ,,0.14,,14171.52
6/20/2025,CREDIT,AGRI TREAS 310   FED SAL ,,3131.08,,14171.38
6/16/2025,DEBIT,FREEDOM MTG PYMTS ,4243.11,,,11040.3
6/13/2025,DIRECTDEBIT,CHASE CREDIT CRD AUTOPAY ,4258.39,,,15283.41
6/12/2025,CREDIT,FEDERAL NATIONAL DIRECT DEP ,,2160.82,,19541.8
6/11/2025,DIRECTDEBIT,PEPCO PAYMENTUS BILLPAY ,218.38,,,17380.98
6/10/2025,DEBIT,BECU CK WEBXFR TRANSFER ,74,,,17599.36
6/6/2025,DEBIT,BECU CK WEBXFR TRANSFER ,3942,,,17673.36
6/6/2025,DEBIT,BECU CK WEBXFR TRANSFER ,720,,,21615.36
6/6/2025,CREDIT,AGRI TREAS 310   FED SAL ,,3131.08,,22335.36
5/30/2025,DEBIT,WASHINGTON GAS PAYMENT ,60.22,,,19204.28
5/29/2025,DEBIT,VERIZON PAYMENTREC ,74.99,,,19264.5
5/29/2025,CREDIT,FEDERAL NATIONAL DIRECT DEP ,,2219.13,,19339.49
5/23/2025,CREDIT,AGRI TREAS 310   FED SAL ,,3131.08,,17120.36
5/21/2025,DEBIT,BECU CK WEBXFR TRANSFER ,500,,,13989.28
5/21/2025,CREDIT,NOAA TREAS 310   FED TVL ,,3442.13,,14489.28
5/20/2025,INT,IOD INTEREST PAID ,,0.12,,11047.15
5/14/2025,DEBIT,FREEDOM MTG PYMTS ,4243.11,,,11047.03
5/14/2025,CREDIT,FEDERAL NATIONAL DIRECT DEP ,,2160.82,,15290.14
5/13/2025,DIRECTDEBIT,CHASE CREDIT CRD AUTOPAY ,5654.88,,,13129.32
5/12/2025,DIRECTDEBIT,PEPCO PAYMENTUS BILLPAY ,135.82,,,18784.2
5/9/2025,CREDIT,AGRI TREAS 310   FED SAL ,,2911.95,,18920.02
5/8/2025,DEBIT,DDA WITHDRAW AP TW04C886   3028 WILSON BLVD            ARLINGTON     * VA,80,,,16008.07
4/30/2025,DEBIT,BECU CK WEBXFR TRANSFER ,62.23,,,16088.07
4/30/2025,CREDIT,FEDERAL NATIONAL DIRECT DEP ,,2160.82,,16150.3
