Date,Description,Comments,Check Number,Amount,Balance,rent
01/26/2024,Digs payment #876646,,,"-$1,425.00","$45,348.00",1
07/28/2025,For 303 Parkview [Date:20250728] [10:06],,,"-$2,075.00","$19,231.00",1
01/24/2025,Real estate management fee [Payment:9NT3],,,"-$1,500.00","$36,142.00",1
08/14/2025,ACH to Johnson LLC [Ref:IDKW] [11:13],,,-$75.00,"$6,229.00",0
12/19/2025,UTILITY - AUTO [Ref:383060],,,"-$1,450.00","$25,867.00",0
11/19/2024,ACH to Johnson LLC (Unit 37C) [Date:20241119],,,"-$1,725.00","$26,928.00",1
08/20/2025,Transfer to Miller [ID:20250820-975],,,-$150.00,"$4,087.00",0
06/25/2025,Unit Management [Trans:887352] [23:56],,,-$50.00,"$36,190.00",0
05/27/2025,Utility fee incl. services [Ref:260263],,,-$400.00,"$14,035.00",0
01/20/2024,Real Estate Solutions [TXN:182582] [15:35],,,-$400.00,"$38,182.00",0
09/28/2024,Domicile Solutions [Invoice:310922],,,"-$1,400.00","$46,211.00",1
08/18/2024,Tenancy remittance [Ref:CWI6] [07:17],,,"-$3,050.00","$15,432.00",1
08/07/2024,First of month payment [ID:20240807-721],,,"-$1,400.00","$31,996.00",0
11/20/2025,Rent payment (apartment) [ID:20251120-482] [14:15],,,-$900.00,"$23,236.00",1
03/29/2025,Rent-pay ment [ID:20250329-638],,,-$900.00,"$36,427.00",1
02/14/2025,RENT PAYMENT (MONTHLY) [Invoice:922157],,,"$1,900.00","$18,380.00",1
06/07/2024,Zelle to Davis [Ref:159942],,,-$75.00,"$21,552.00",0
07/09/2024,Habitation remittance [Payment:UBCX],,,"-$1,475.00","$38,334.00",1
07/28/2024,Additional to rent - fee [Payment:Q77A],,,-$300.00,"$43,303.00",0
03/16/2024,Complex Services (Unit 23A) [Invoice:974244] [17:19],,,"-$1,450.00","$29,716.00",1
05/17/2024,Abode disbursement [Trans:320861],,,"-$2,775.00","$40,638.00",1
04/04/2024,Building payment for residential unit [Invoice:768061] [02:56],,,-$700.00,"$9,573.00",1
07/12/2025,Landlord services payment [Ref:L624],,,"-$3,050.00","$9,352.00",1
11/13/2025,Unit 7B monthly [Ref:935A],,,"-$2,150.00","$16,514.00",1
