Date,Description,Comments,Check Number,Amount,Balance,rent
03/01/2025,Complex charge for residential unit [Ref:26SM],,,"-$2,725.00","$25,348.00",1
05/22/2025,Flat fee [Invoice:629637],,,"-$2,550.00","$23,229.00",0
03/26/2025,Automated monthly payment [ID:20250326-354],,,"-$1,250.00","$25,728.00",1
06/08/2024,Monthly obligation (Unit 22C) #895894,,,"$2,400.00","$27,080.00",1
01/03/2024,Recurring transfer to Smith [ID:20240103-273],,,"-$1,400.00","$11,273.00",0
01/16/2024,Unit disbursement for residential unit [ID:620122],,,"-$2,600.00","$1,201.00",1
02/03/2024,First of month payment [ID:20240203-136],,,"$1,700.00","$5,322.00",0
07/22/2025,Standard monthly charge [Date:20250722] [18:25],,,"-$1,800.00","$23,110.00",1
01/30/2024,Rent payment (primary residence) [Ref:170085],,,-$975.00,"$45,174.00",1
10/27/2024,Recurring debit [Ref:NWQQ],,,"-$1,475.00","$46,250.00",1
01/28/2025,Building payment for residential unit [Payment:ISFW],,,"-$3,025.00","$25,426.00",1
08/25/2025,Unit fee [Ref:952338],,,"-$1,800.00","$48,571.00",0
10/16/2025,Periodic 30th payment #449851,,,-$800.00,"$18,045.00",0
06/17/2024,Recurring debit (Unit 2C) [Ref:F2J4],,,"-$2,650.00","$5,597.00",1
09/13/2025,NOT rent - utilities [Ref:919610],,,-$200.00,"$26,386.00",0
03/05/2025,Housing Associates [Trans:398653],,,-$800.00,"$4,447.00",1
05/11/2024,Rent payment  [Payment:CPL2],,,"-$1,500.00","$15,294.00",1
01/31/2024,Rental payment [Invoice:664231],,,"-$1,650.00","$11,697.00",1
01/21/2025,Condo fee [ID:20250121-988],,,"-$1,900.00","$8,935.00",1
09/08/2025,Strata payment [Payment:9KTI] [23:57],,,"-$2,550.00","$38,017.00",0
09/16/2025,Premises Services (Unit 4B) [Date:20250916],,,"-$1,000.00","$23,517.00",1
07/16/2025,Unit fee for residential unit [Trans:357622],,,"$2,050.00","$41,215.00",1
08/21/2024,Recurring debit [Ref:TRAZ] [06:36],,,-$900.00,"$43,384.00",1
09/07/2025,Rent payment (primary residence) [ID:825208],,,"-$1,875.00","$32,335.00",1
05/08/2025,Periodic 30th payment [ID:20250508-134],,,"-$1,400.00","$35,571.00",0
09/04/2024,Housing allocation payment [ID:20240904-60],,,"-$1,075.00","$45,881.00",1
08/03/2025,Unit payment [ID:956818],,,"-$1,850.00","$17,282.00",0
06/23/2024,Periodic disbursement [Ref:745653],,,-$800.00,"$35,802.00",0
01/20/2024,Payment on 1st of month (Unit 41B) #727749 [10:08],,,"-$1,900.00","$28,444.00",1
01/15/2024,Utility fee + insurance [ID:828960],,,"-$2,100.00","$18,490.00",0
05/06/2025,Complex payment for residential unit [Invoice:557063],,,"-$1,325.00","$22,543.00",1
04/03/2025,Periodic 30th payment [Trans:395008],,,"-$2,850.00","$28,159.00",1
10/15/2025,Unit remittance for residential unit [TXN:487401],,,"-$1,250.00","$29,051.00",1
08/13/2024,Rent payment (apartment) [Invoice:556752],,,"-$1,475.00","$12,372.00",1
11/03/2024,Rent payment (primary residence) [TXN:374883],,,"-$1,250.00","$42,983.00",1
10/24/2025,Regular payment [Date:20251024],,,-$350.00,"$34,212.00",0
