Date,Description,Comments,Check Number,Amount,Balance,rent
10/26/2025,R3nt fee #560352,,,"-$1,425.00","$15,881.00",1
02/22/2024,Debit to Anderson [Payment:QNXP],,,"-$1,800.00","$4,481.00",0
02/11/2024,Subscription Calendar month [Ref:274006] [06:40],,,-$100.00,"$34,208.00",0
01/25/2024,Additional to rent - fee [Trans:485841],,,"-$1,600.00","$19,672.00",0
11/13/2025,Rent ;payment [Date:20251113] [06:05],,,"-$3,050.00","$11,048.00",1
10/09/2024,Unit fee [Invoice:538698],,,$75.00,"$13,746.00",0
01/01/2024,Residential payment 10th recurring [ID:329737],,,-$750.00,"$5,331.00",1
09/23/2025,Maintenence payment [Invoice:674541] [21:53],,,-$900.00,"$37,606.00",0
08/31/2025,Servise payment [Ref:444094],,,-$300.00,"$18,838.00",0
09/20/2024,Debit to Anderson [ID:20240920-903],,,"-$1,200.00","$17,301.00",0
08/03/2025,Unit charge [ID:20250803-542] [15:01],,,"$2,400.00","$44,442.00",0
01/14/2025,Transfer to Miller [TXN:717006],,,-$900.00,"$26,974.00",0
08/30/2025,Unit charge [TXN:616579],,,-$650.00,"$29,084.00",0
04/27/2025,Debit to Anderson (Unit 24C) [Payment:LBU9] [06:50],,,"-$1,900.00","$11,827.00",1
02/04/2025,RENT~MONTHLY [Payment:S3KC],,,-$950.00,"$41,333.00",1
10/20/2025,Rent-pay ment [Trans:397477],,,-$975.00,"$46,156.00",1
10/27/2024,HOA fee + insurance [Ref:442475],,,-$300.00,"$44,663.00",0
05/31/2024,Ref: RES-UNIT-5B [ID:20240531-788] [20:42],,,"-$1,075.00","$19,512.00",1
12/27/2025,Facility Solutions [Trans:169264],,,"-$1,250.00","$23,615.00",0
12/27/2025,CHARGE - MONTHLY [TXN:430079],,,-$450.00,"$44,149.00",0
04/05/2024,Additional to rent - fee [Ref:619420],,,"-$1,100.00","$40,578.00",0
09/21/2025,Unit payment [Invoice:311511],,,-$125.00,"$33,838.00",0
06/25/2025,Membership Semi-monthly [Trans:577052] [10:01],,,$250.00,"$3,583.00",0
08/26/2025,Utility fee + insurance [Date:20250826],,,$700.00,"$40,895.00",0
08/22/2024,Accommodation remittance including tax [ID:20240822-355] [02:51],,,"-$1,575.00","$35,782.00",1
07/02/2025,CHARGE - MONTHLY #926271,,,"-$1,000.00","$42,944.00",0
04/28/2024,CHARGE - AUTO [Date:20240428] [09:42],,,"-$1,350.00","$29,147.00",0
03/01/2025,Residential Services [TXN:424526],,,-$250.00,"$19,925.00",0
09/02/2024,Place I stay remittance [Trans:227338],,,"-$1,200.00","$23,120.00",1
03/26/2024,Unit charge [ID:860548],,,"-$1,350.00","$17,402.00",0
05/29/2024,Lease charge for residential unit [Invoice:468451],,,"-$2,775.00","$42,390.00",1
08/05/2024,Domicile Solutions [Trans:170150],,,"-$1,800.00","$46,701.00",0
01/31/2025,Property payment [Ref:UAXN],,,-$250.00,"$13,326.00",0
11/18/2024,RENT: UNIT 304 [Ref:EER9] [01:50],,,"-$1,050.00","$37,792.00",1
09/08/2024,Property remittance [TXN:797118],,,-$950.00,"$20,674.00",0
03/17/2024,Service 25th standing [Invoice:127417],,,-$900.00,"$2,489.00",0
01/06/2025,Where I live payment [Invoice:704411],,,"-$1,750.00","$12,968.00",1
12/30/2025,Pad payment [ID:20251230-999] [10:17],,,"$2,800.00","$44,116.00",1
05/20/2024,Lease obligation payment #525709 [05:11],,,-$975.00,"$24,666.00",1
10/07/2025,RENT~MONTHLY [Payment:IOY5],,,"-$1,325.00","$45,724.00",1
05/19/2025,Letting fee [ID:20250519-821],,,"-$2,075.00","$26,456.00",1
10/02/2024,Bi-weekly housing [TXN:621852],,,-$125.00,"$40,666.00",0
11/18/2025,Recurring 1st week (Unit 16C) [ID:328731],,,-$700.00,"$9,713.00",1
02/27/2025,Residential facility fee [Invoice:923758],,,"-$2,225.00","$43,464.00",1
11/10/2025,Payment on 1st of month [Ref:999797],,,-$150.00,"$44,637.00",0
04/19/2025,End of month remittance [Ref:533485],,,-$75.00,"$14,358.00",0
08/23/2025,Rent payment (primary residence) [TXN:980245] [07:41],,,"-$1,475.00","$19,062.00",1
01/28/2025,Unit Management [Invoice:856277],,,"-$1,000.00","$18,542.00",0
01/21/2024,Semi-monthly residence [Invoice:894544],,,-$125.00,"$17,010.00",0
06/25/2025,Monthly payment to John [ID:20250625-539],,,-$450.00,"$28,507.00",0
08/23/2025,Housing Associates [Ref:W6L4],,,"-$1,600.00","$25,898.00",0
06/29/2025,Complex charge for residential unit [Trans:208205],,,"-$2,150.00","$5,998.00",1
04/15/2024,Abode payment plus insurance [ID:329082],,,"-$2,225.00","$15,059.00",1
08/02/2024,Quarterly dwelling [Trans:929527],,,-$300.00,"$17,404.00",0
11/04/2025,Rent ;payment [Payment:OLDU],,,-$675.00,"$15,179.00",1
12/14/2025,Property payment [TXN:202247],,,-$800.00,"$49,424.00",0
07/02/2024,Zelle to Davis (Unit 19B) [Date:20240702],,,-$775.00,"$9,815.00",1
06/06/2024,Service fee + insurance [ID:817686] [03:27],,,"-$1,850.00","$12,475.00",0
12/17/2025,RENT #2024-001 [TXN:720424],,,"-$2,650.00","$35,790.00",1
04/04/2025,Rent payment (apartment) [Date:20250404],,,"-$2,250.00","$40,733.00",1
04/03/2024,UTILITY - AUTO [Payment:8ER6],,,-$150.00,"$46,892.00",0
02/24/2024,Strata payment [ID:633112],,,"-$1,425.00","$4,326.00",1
09/22/2024,Unit Management (Unit 12A) [Payment:2HWS],,,"-$2,125.00","$14,454.00",1
10/11/2025,Spot payment [Ref:131415],,,-$450.00,"$23,130.00",0
03/26/2024,Unit charge for residential unit [Payment:2TN2] [04:22],,,-$825.00,"$7,439.00",1
01/23/2025,Maintenance fee + insurance [ID:800599] [09:32],,,"-$2,800.00","$40,344.00",0
11/17/2024,Unit fee for residential unit [Ref:BX5N] [23:33],,,"-$2,625.00","$3,893.00",1
06/26/2025,Housing Associates [TXN:636538],,,"-$2,100.00","$18,656.00",0
02/12/2024,Letting fee [Ref:530108],,,"-$1,800.00","$16,754.00",0
05/08/2024,Place I stay remittance [Date:20240508],,,-$700.00,"$17,568.00",1
10/21/2025,Facility Solutions #496453 [02:09],,,-$900.00,"$13,704.00",0
09/25/2025,Service fee incl. services [TXN:527442],,,"-$1,400.00","$21,152.00",0
08/07/2024,Mid-month transfer [Ref:762314] [07:46],,,-$750.00,"$20,111.00",0
12/14/2024,Lodgings remittance [Invoice:495597],,,-$650.00,"$31,790.00",0
08/19/2024,Ren tpayment [Payment:3J0E],,,"-$1,500.00","$34,996.00",1
