Date,Description,Comments,Check Number,Amount,Balance,rent
01/26/2024,Digs payment,,,"-$1,425.00","$45,348.00",1
08/27/2025,Monthly payment to John (Unit 15C),,,-$700.00,"$43,590.00",1
08/13/2024,Payment to Wilson,,,-$50.00,"$28,696.00",0
10/11/2024,Mid-month transfer,,,"-$1,950.00","$23,541.00",0
02/14/2024,Strata payment,,,-$125.00,"$37,178.00",0
10/05/2025,Property payment,,,-$850.00,"$15,935.00",0
03/22/2024,Utilitie payment,,,-$600.00,"$24,909.00",0
01/14/2025,Place I stay remittance,,,-$900.00,"$36,005.00",1
06/16/2024,Payment to Wilson,,,"-$2,775.00","$4,665.00",1
02/02/2024,R3nt fee,,,"-$1,500.00","$38,170.00",1
08/05/2024,Separate from rent - deposit,,,"-$1,800.00","$17,162.00",0
08/21/2025,Premises Services,,,$600.00,"$10,065.00",0
04/03/2024,Utility fee + tax,,,"-$2,100.00","$26,216.00",0
09/02/2025,Subscription Bi-weekly,,,"-$1,200.00","$48,233.00",0
11/29/2025,Rent/payment,,,"-$1,550.00","$29,492.00",1
04/09/2025,Where I live payment,,,"-$2,575.00","$7,973.00",1
10/16/2025,Zelle to Davis,,,-$150.00,"$35,757.00",0
09/05/2025,Tenancy remittance,,,-$950.00,"$21,153.00",1
02/29/2024,Apartment 12C fee,,,-$800.00,"$5,535.00",1
05/11/2024,Rent payment (apartment),,,"-$1,250.00","$40,753.00",1
08/04/2024,SERVICE - AUTO,,,-$400.00,"$25,472.00",0
06/13/2025,Transfer to Miller,,,-$650.00,"$16,080.00",0
01/08/2024,Domicile disbursement,,,"$1,400.00","$22,654.00",1
06/10/2025,Remittance: DWELLING,,,"-$1,400.00","$38,423.00",1
09/05/2024,HOA fee + tax,,,"-$2,100.00","$27,941.00",0
02/25/2024,Non-rent housing expense,,,-$75.00,"$8,161.00",0
07/15/2024,Ref: RES-UNIT-5B,,,"-$1,125.00","$31,318.00",1
03/18/2024,Bi-weekly housing,,,-$900.00,"$36,427.00",1
04/05/2024,RENT - DO NOT DELETE,,,"-$1,275.00","$15,008.00",1
03/01/2024,Monthly payment to John,,,-$600.00,"$30,819.00",0
03/09/2025,Distinct from rent - service,,,"-$1,650.00","$4,832.00",0
11/17/2024,Invoice: RESIDENCE,,,"-$2,650.00","$34,281.00",1
07/09/2024,Habitation remittance,,,"-$1,475.00","$38,334.00",1
08/15/2025,Domicile Solutions (Unit 43C),,,"-$3,050.00","$18,089.00",1
11/16/2025,Digs payment,,,"-$1,575.00","$43,303.00",1
04/13/2025,Mid-month transfer,,,"$3,000.00","$5,801.00",0
06/02/2025,Real estate management fee,,,-$825.00,"$11,338.00",1
07/10/2025,Pad payment,,,"-$1,800.00","$37,346.00",0
11/10/2025,Semi-monthly residence,,,-$150.00,"$49,655.00",0
10/05/2024,Residential facility fee,,,"-$1,725.00","$18,300.00",1
09/14/2024,UTILITY - MONTHLY,,,"-$1,800.00","$1,232.00",0
05/13/2024,Building payment,,,-$200.00,"$29,028.00",0
04/24/2024,Recurring habitation expenditure,,,"-$2,750.00","$39,175.00",1
03/16/2025,My house monthly,,,"-$1,800.00","$14,767.00",1
11/13/2025,Unit 7B monthly,,,"-$2,150.00","$16,514.00",1
06/30/2024,Rnet payment,,,"-$1,250.00","$27,982.00",1
09/30/2024,Abode disbursement,,,"-$1,900.00","$15,577.00",1
04/16/2025,Accommodation disbursement,,,"-$1,400.00","$27,113.00",1
10/12/2024,Maintenence payment,,,-$500.00,"$36,141.00",0
01/29/2024,Payment to Wilson,,,$200.00,"$3,507.00",0
09/02/2025,First of month payment,,,"$2,150.00","$8,578.00",1
08/13/2025,Recurring transfer to Smith,,,"-$2,800.00","$49,624.00",0
01/07/2025,Monthly on 15th,,,"-$1,700.00","$20,681.00",1
11/13/2025,Housing Associates,,,-$400.00,"$44,576.00",0
11/24/2025,Lodgings remittance,,,"-$1,600.00","$1,026.00",0
10/20/2024,End of month remittance,,,"-$1,400.00","$29,952.00",0
11/22/2025,Facility Solutions,,,-$200.00,"$44,506.00",0
04/05/2024,Servise payment,,,-$400.00,"$2,600.00",0
09/07/2024,Residential payment Semi-monthly,,,-$875.00,"$42,272.00",1
12/14/2025,Complex management remittance,,,"-$1,425.00","$1,363.00",1
03/11/2025,500 Oak Ave payment,,,"-$2,200.00","$8,953.00",1
05/16/2024,Maintenence payment,,,-$800.00,"$34,081.00",0
07/15/2025,Wire to Thompson,,,-$900.00,"$42,789.00",0
06/17/2025,Transfer to Miller,,,-$350.00,"$16,367.00",0
12/09/2024,Unit Management,,,"-$1,450.00","$11,014.00",0
03/06/2024,Property Services LLC,,,"-$2,050.00","$28,534.00",1
08/21/2025,UTILITY - AUTO,,,$600.00,"$20,569.00",0
03/05/2025,First of month payment,,,"-$1,200.00","$32,996.00",0
10/06/2024,Monthly payment to John,,,"-$1,925.00","$9,364.00",1
02/07/2025,Monthly on 15th (Unit 42B),,,"-$1,125.00","$18,049.00",1
12/01/2024,Property Services LLC,,,-$450.00,"$28,627.00",0
03/24/2024,First of month payment,,,"-$1,850.00","$5,496.00",0
02/01/2024,RENT - DO NOT DELETE,,,-$700.00,"$9,272.00",1
11/16/2025,Zelle to Davis,,,-$800.00,"$11,996.00",0
06/16/2024,Residential payment 5th monthly,,,"$2,950.00","$38,735.00",1
02/10/2025,SERVICE - MONTHLY,,,"-$1,400.00","$7,678.00",0
12/01/2025,Unit disbursement,,,"-$1,400.00","$29,074.00",0
03/11/2024,Property Services LLC,,,-$50.00,"$7,916.00",0
01/05/2025,Lease payment,,,-$150.00,"$43,628.00",0
09/22/2025,Subscripton payment,,,-$800.00,"$18,589.00",0
09/08/2024,Utilitie payment,,,-$350.00,"$31,455.00",0
12/10/2024,Bi-weekly housing,,,"-$1,350.00","$17,931.00",0
10/13/2024,Maintenence payment,,,"-$1,350.00","$48,190.00",0
05/15/2025,Transfer to Miller,,,-$900.00,"$2,130.00",0
10/28/2024,Lodging remittance,,,"-$1,700.00","$37,272.00",1
03/11/2025,Subscription Bi-weekly,,,-$500.00,"$17,475.00",0
05/03/2024,Flat fee,,,"$1,000.00","$46,230.00",1
07/15/2024,Invoice: RESIDENCE,,,"$1,600.00","$35,382.00",1
04/12/2024,Maintenence payment,,,-$300.00,"$47,400.00",0
10/07/2024,Domicile disbursement,,,"-$2,800.00","$9,275.00",1
04/15/2024,Maintenence payment,,,-$900.00,"$4,367.00",0
05/04/2025,ACH to Johnson LLC,,,-$600.00,"$45,987.00",0
06/04/2024,Apartment 12C fee,,,"$1,600.00","$8,762.00",1
09/12/2025,Domicile Solutions,,,-$300.00,"$30,014.00",0
08/25/2025,Membership 20th periodic,,,$950.00,"$14,617.00",0
09/27/2024,Rent payment ,,,"-$1,425.00","$11,258.00",1
02/22/2025,Domicile Solutions,,,-$725.00,"$19,528.00",1
03/13/2024,Other than rent - tax,,,"-$1,800.00","$13,964.00",0
04/27/2024,Payment on 1st of month,,,-$150.00,"$5,679.00",0
06/18/2024,Accommodation remittance including tax,,,"-$3,000.00","$31,716.00",1
12/17/2025,Payment to Wilson,,,"-$1,000.00","$40,192.00",0
03/18/2025,Pad payment,,,"-$1,500.00","$45,190.00",1
11/19/2025,Rent(payment),,,-$725.00,"$43,697.00",1
10/11/2024,Premises Services,,,-$700.00,"$6,979.00",0
12/22/2024,Property Services LLC,,,-$125.00,"$46,460.00",0
10/22/2024,Separate from rent - deposit,,,-$850.00,"$22,186.00",0
02/17/2025,Rnet payment,,,"-$2,825.00","$13,293.00",1
09/29/2025,HOA fee + tax,,,-$250.00,"$19,876.00",0
12/16/2025,Monthly payment to John,,,"-$1,800.00","$11,379.00",0
07/18/2025,Residential Services,,,-$100.00,"$8,435.00",0
04/30/2024,Unit remittance,,,-$900.00,"$47,229.00",0
03/01/2025,Subscripton payment,,,-$300.00,"$13,491.00",0
03/12/2024,Facility management disbursement,,,"-$1,800.00","$1,168.00",1
11/01/2024,Subscripton payment,,,-$150.00,"$22,786.00",0
04/11/2025,SERVICE - AUTO,,,-$300.00,"$27,920.00",0
11/21/2024,Spot payment,,,"$1,975.00","$43,730.00",1
05/22/2025,Residential payment 10th recurring,,,"-$2,650.00","$7,577.00",1
04/12/2024,Building Management,,,-$50.00,"$43,911.00",0
03/17/2024,Payment to Wilson,,,"-$1,900.00","$45,194.00",1
11/20/2024,Lease fee,,,-$850.00,"$45,852.00",0
08/20/2024,Unit letting,,,-$125.00,"$7,586.00",0
06/19/2024,NOT rent - utilities,,,-$75.00,"$24,492.00",0
03/17/2025,Complex Services,,,-$700.00,"$12,140.00",0
03/21/2024,Property fee for residential unit,,,"$1,475.00","$10,379.00",1
04/17/2025,Lease payment for residential unit,,,"-$1,500.00","$31,490.00",1
11/24/2025,ACH to Johnson LLC,,,$800.00,"$20,605.00",0
12/07/2025,Bi-weekly housing,,,"-$1,950.00","$7,989.00",0
01/25/2025,Premises Services (Unit 45B),,,-$675.00,"$38,088.00",1
09/12/2025,Rental payment,,,"-$1,500.00","$15,352.00",1
09/27/2025,Residence disbursement,,,-$900.00,"$29,889.00",1
08/16/2025,Residence disbursement,,,-$850.00,"$28,230.00",1
07/24/2024,For 303 Parkview,,,"-$1,900.00","$18,860.00",1
09/20/2024,RENT~MONTHLY,,,"-$1,650.00","$31,692.00",1
05/24/2024,Rent with included services,,,"-$2,000.00","$26,858.00",1
09/27/2024,Building Management,,,"-$1,600.00","$42,847.00",1
04/20/2024,Independent of rent - repair,,,$50.00,"$22,496.00",0
10/25/2025,Payment ref: HOUSING-,,,"-$1,675.00","$3,971.00",1
11/07/2024,Residential payment 5th monthly,,,-$925.00,"$9,890.00",1
04/09/2025,First of month payment,,,"-$1,200.00","$11,126.00",0
11/01/2025,Facility Solutions,,,"$1,600.00","$3,144.00",0
08/10/2024,Transfer to Miller,,,"-$1,850.00","$43,259.00",0
03/03/2024,Zelle to Davis,,,-$125.00,"$7,007.00",0
10/19/2025,Unit payment for residential unit,,,-$750.00,"$9,252.00",1
03/11/2024,Rent-pay ment,,,"-$1,400.00","$16,269.00",1
05/31/2024,Utility fee + insurance,,,-$150.00,"$12,435.00",0
11/07/2025,Rentt disbursement,,,-$650.00,"$16,593.00",1
01/17/2024,Recurring transfer to Smith,,,-$150.00,"$49,867.00",0
05/02/2025,Real Estate Solutions,,,-$975.00,"$41,311.00",1
11/05/2025,Building Management,,,$600.00,"$27,320.00",1
12/03/2025,Recurring 1st week,,,-$850.00,"$10,721.00",0
05/09/2024,Unit 7B monthly,,,"$1,775.00","$35,770.00",1
04/09/2025,Residential Services,,,-$125.00,"$43,907.00",0
03/16/2025,Transfer to Miller,,,"-$2,275.00","$7,231.00",1
03/13/2025,Payment to Wilson,,,-$500.00,"$32,081.00",0
04/03/2024,Rant fee,,,"-$2,050.00","$25,421.00",1
07/23/2025,Unit 7B monthly,,,"-$2,800.00","$27,922.00",1
11/12/2025,CHARGE - AUTO,,,-$75.00,"$24,045.00",0
08/14/2025,Debit to Anderson,,,"-$1,400.00","$37,455.00",1
04/27/2024,Service fee + insurance,,,"-$1,200.00","$41,211.00",0
09/15/2025,RENT #2024-001,,,-$625.00,"$21,249.00",1
12/25/2024,Bi-weekly housing,,,-$150.00,"$10,297.00",0
04/03/2024,Digs payment,,,"-$1,975.00","$11,315.00",1
11/15/2024,Place remittance,,,"-$1,400.00","$11,196.00",0
09/24/2025,Premises maintenance remittance,,,"-$1,575.00","$32,828.00",1
02/28/2025,Mid-month transfer,,,"-$2,100.00","$45,447.00",0
06/23/2025,NOT rent - utilities,,,-$300.00,"$1,503.00",0
11/04/2024,RENT PAYMENT (MONTHLY),,,"-$1,550.00","$1,506.00",1
03/16/2025,Housing Associates,,,"-$1,200.00","$44,781.00",0
03/14/2024,First of month payment,,,-$75.00,"$6,102.00",0
08/12/2025,Housing Associates,,,"-$1,800.00","$2,366.00",0
06/24/2024,Subscripton payment,,,-$950.00,"$39,592.00",0
06/20/2025,Bi-weekly housing,,,-$400.00,"$12,018.00",0
06/06/2025,Lease charge for residential unit,,,"$2,575.00","$23,896.00",1
10/22/2025,Servise payment,,,"-$1,350.00","$11,018.00",0
06/30/2024,Residential payment Quarterly,,,"-$2,425.00","$38,976.00",1
11/28/2025,FEE - AUTO,,,-$850.00,"$42,378.00",0
10/08/2024,Real Estate Solutions,,,"-$2,250.00","$4,728.00",0
10/20/2024,Bi-weekly housing,,,-$100.00,"$31,324.00",0
04/05/2025,RENT>>PAYMENT,,,"-$1,350.00","$33,857.00",1
03/04/2024,End of month remittance,,,"-$1,700.00","$12,308.00",1
09/10/2024,Condo fee,,,"-$2,650.00","$24,848.00",1
10/16/2024,Mid-month transfer,,,-$450.00,"$42,345.00",0
03/08/2024,Unit Management,,,-$600.00,"$44,028.00",0
12/07/2024,Recurring habitation expenditure,,,"$1,850.00","$46,775.00",1
05/12/2024,ACH to Johnson LLC,,,-$400.00,"$22,527.00",0
11/17/2025,Spot payment,,,"-$2,550.00","$28,748.00",1
01/19/2024,Wire to Thompson,,,-$250.00,"$13,583.00",0
05/20/2024,My apartment payment,,,"-$1,000.00","$49,407.00",1
11/08/2025,Residence disbursement,,,"-$1,925.00","$46,406.00",1
03/24/2025,Landlord services payment,,,"-$1,475.00","$30,420.00",1
06/30/2025,Invoice: RESIDENCE,,,"-$1,350.00","$38,383.00",1
04/17/2025,HOA fee incl. services,,,"-$1,000.00","$14,087.00",0
09/13/2024,Invoice: RESIDENCE,,,"$1,900.00","$47,622.00",1
10/18/2024,Periodic domicile remittance,,,"$1,575.00","$10,656.00",1
04/03/2024,SERVICE - RECURRING,,,-$500.00,"$26,982.00",0
08/29/2024,ACH to Johnson LLC,,,-$500.00,"$7,493.00",0
05/29/2024,Remittance to Moore,,,-$900.00,"$47,238.00",0
04/04/2025,Unit charge,,,-$50.00,"$36,966.00",0
04/23/2024,Service fee + insurance,,,"-$2,100.00","$41,816.00",0
03/05/2024,Semi-monthly residence,,,-$900.00,"$34,775.00",0
05/27/2024,Lease obligation payment,,,"-$1,825.00","$13,275.00",1
06/20/2025,Residential payment 5th monthly,,,"-$2,650.00","$34,267.00",1
02/03/2025,Rnet payment,,,"-$1,950.00","$2,064.00",1
03/10/2024,First of month payment,,,"-$3,000.00","$22,791.00",0
02/15/2024,Property management remittance,,,"$1,275.00","$32,361.00",1
05/18/2024,Payment ref: HOUSING-,,,-$750.00,"$14,072.00",1
11/19/2024,RENT|AUTO,,,"-$2,000.00","$3,399.00",1
10/19/2024,Domicile disbursement,,,"-$1,750.00","$25,118.00",1
02/13/2025,Unit letting,,,-$450.00,"$33,605.00",0
06/15/2025,ACH to Johnson LLC,,,"-$1,250.00","$22,050.00",0
03/22/2024,My apartment payment,,,"-$1,675.00","$28,925.00",1
12/07/2025,Building Management (Unit 23C),,,"-$2,100.00","$4,759.00",1
11/18/2025,Property payment for residential unit,,,"$2,575.00","$10,357.00",1
02/05/2024,Transfer to Miller,,,"-$1,800.00","$38,174.00",0
09/11/2025,Ref: RES-UNIT-5B,,,"-$1,850.00","$6,038.00",1
06/26/2025,My unit disbursement,,,"$1,525.00","$2,698.00",1
05/26/2025,Quarterly dwelling,,,"-$1,550.00","$15,062.00",1
12/11/2025,CHARGE - MONTHLY,,,-$850.00,"$47,751.00",0
03/30/2024,Maintenence payment,,,-$500.00,"$20,029.00",0
06/10/2024,Spot payment,,,"-$1,850.00","$8,953.00",0
05/22/2024,Remittance: DWELLING,,,-$650.00,"$25,176.00",1
07/18/2025,Semi-monthly residence,,,"$1,950.00","$48,111.00",0
06/22/2025,Residential Services,,,"-$1,750.00","$30,489.00",0
11/27/2025,Debit to Anderson,,,"-$1,200.00","$9,456.00",0
05/29/2025,UTILITY - MONTHLY,,,"-$1,250.00","$47,486.00",0
12/20/2024,RENT|AUTO,,,"-$1,600.00","$42,619.00",1
05/08/2024,Unit charge,,,"-$1,000.00","$39,053.00",0
06/24/2024,Rent payment (apartment),,,"-$1,800.00","$2,859.00",1
02/16/2024,RENT>>PAYMENT,,,"-$1,525.00","$28,301.00",1
05/24/2025,Rent-pay ment,,,"-$1,650.00","$45,891.00",1
10/31/2024,Recurring 1st week,,,"-$2,100.00","$14,370.00",0
09/13/2025,Bi-weekly housing,,,-$450.00,"$27,130.00",0
01/14/2025,Check #1234 for monthly,,,"-$2,200.00","$17,247.00",1
04/09/2024,Building administration fee,,,"$2,075.00","$11,466.00",1
08/14/2025,Digs payment,,,-$200.00,"$33,686.00",0
05/24/2025,Housing Associates,,,"-$1,000.00","$39,230.00",0
02/19/2024,Facility Solutions,,,"-$1,600.00","$31,840.00",0
07/03/2025,Check #1234 for monthly,,,"-$1,550.00","$27,427.00",0
02/16/2024,Premises Services,,,"-$2,800.00","$26,319.00",0
07/17/2025,Domicile Solutions,,,-$950.00,"$23,222.00",0
