Date,Description,Comments,Check Number,Amount,Balance,rent
01/24/2025,Periodic 30th payment,,,-$400.00,"$21,289.00",0
02/01/2024,Building fee,,,"-$1,500.00","$28,629.00",0
01/17/2024,Debit to Anderson (Unit 24A),,,"-$2,700.00","$16,099.00",1
03/09/2025,Unit disbursement for residential unit,,,"-$1,625.00","$35,508.00",1
08/08/2025,Complex Services (Unit 21B),,,"-$2,050.00","$47,507.00",1
09/27/2024,Additional to rent - fee,,,"-$1,600.00","$31,640.00",0
11/22/2024,Rent payment ,,,"-$2,350.00","$35,387.00",1
03/21/2025,Membership 20th periodic,,,"-$1,350.00","$26,450.00",0
07/21/2025,Recurring debit,,,"-$2,650.00","$36,844.00",1
01/18/2025,Rent payment ,,,"$3,025.00","$49,895.00",1
04/30/2025,Tenancy payment,,,-$600.00,"$7,570.00",0
06/16/2024,Landlord services payment,,,"-$1,975.00","$13,429.00",1
12/07/2025,Rent payment (apartment),,,"-$2,075.00","$9,733.00",1
08/02/2025,Residential payment Last day,,,"-$1,500.00","$37,744.00",1
11/25/2024,End of month remittance,,,"-$2,625.00","$29,789.00",1
08/30/2024,Excluding rent - HOA,,,-$800.00,"$43,710.00",0
02/17/2024,Recurring transfer to Smith,,,"-$1,350.00","$41,425.00",1
08/21/2024,Rent payment ,,,"-$2,250.00","$14,921.00",1
05/21/2025,Apart from rent - maintenance,,,"-$1,950.00","$1,595.00",0
12/05/2024,Tenancy payment,,,"-$1,150.00","$9,312.00",0
02/28/2024,HOA fee + insurance,,,"-$1,450.00","$5,550.00",0
07/18/2025,Residential payment 5th monthly,,,-$600.00,"$26,778.00",1
09/08/2024,Bi-weekly housing,,,"-$2,175.00","$15,309.00",1
03/18/2024,Lease charge for residential unit,,,"$2,750.00","$27,332.00",1
05/04/2025,Semi-monthly residence,,,"-$1,750.00","$25,802.00",0
12/09/2024,Rent payment ,,,"-$2,600.00","$9,865.00",1
03/27/2024,NOT rent - utilities,,,"-$2,100.00","$48,705.00",0
05/15/2024,Rental payment,,,-$675.00,"$25,040.00",1
03/14/2025,Unit remittance for residential unit,,,"$1,800.00","$29,160.00",1
01/15/2024,Digs payment,,,"-$2,875.00","$34,315.00",1
10/11/2025,Place remittance,,,"-$1,350.00","$27,976.00",0
