Date,Description,Comments,Check Number,Amount,Balance,rent
03/12/2025,Domicile Solutions [Ref:189310],,,-$650.00,"$32,385.00",1
12/16/2025,Subscripton payment [ID:20251216-639],,,"-$1,000.00","$12,254.00",0
06/21/2024,Wire to Thompson [Ref:SC2G],,,-$650.00,"$13,468.00",0
04/24/2025,Spot payment [Ref:394L] [20:52],,,-$800.00,"$13,816.00",0
09/17/2024,Rental payment [Invoice:327091],,,-$800.00,"$45,263.00",1
02/06/2025,Subscription First Monday [Ref:865757],,,"$1,850.00","$20,114.00",0
02/02/2024,Strata payment [TXN:365023],,,"$1,150.00","$42,174.00",1
04/28/2025,Strata payment [Invoice:562817],,,"-$2,575.00","$42,725.00",1
01/03/2024,Unit payment for residential unit [ID:20240103-150],,,-$900.00,"$2,474.00",1
05/16/2025,Rent payment (primary residence) [Ref:755051] [11:56],,,"-$1,375.00","$11,289.00",1
02/03/2024,Rent payment (apartment) #235159,,,"-$1,700.00","$47,530.00",1
05/17/2024,Property Services LLC #299649,,,"-$2,600.00","$47,228.00",0
07/28/2024,Separate from rent - deposit [ID:20240728-290],,,"-$2,800.00","$40,724.00",0
11/23/2025,Transfer to Miller [Payment:CADO],,,-$250.00,"$19,248.00",0
12/03/2025,Rent payment (primary residence) [ID:20251203-273],,,"-$1,800.00","$22,574.00",1
06/12/2025,Residence disbursement [Payment:3X8O],,,"-$1,600.00","$1,397.00",1
04/11/2024,Place remittance [Invoice:267559],,,"-$1,250.00","$25,410.00",0
05/30/2025,Service fee + insurance [ID:20250530-178] [10:47],,,"-$1,800.00","$23,927.00",0
09/02/2025,Unit disbursement for residential unit [Trans:956761],,,$800.00,"$11,430.00",1
02/15/2025,Premises maintenance remittance [Invoice:349518] [18:30],,,"-$2,250.00","$2,224.00",1
07/10/2025,Building fee for residential unit [Ref:8LYK],,,"-$1,075.00","$15,430.00",1
02/16/2024,End of month remittance [Trans:728709],,,"-$2,125.00","$33,500.00",1
01/19/2024,Place remittance [ID:20240119-629] [18:57],,,"-$1,775.00","$10,358.00",1
06/27/2025,NOT rent - utilities [ID:20250627-352] [16:12],,,-$125.00,"$12,002.00",0
04/14/2025,Unit charge [Date:20250414],,,-$150.00,"$34,830.00",0
04/29/2024,Spot payment [Ref:54ED],,,"-$3,050.00","$32,402.00",1
08/13/2024,Monthly on 15th [Invoice:638301],,,"-$2,850.00","$10,537.00",1
07/13/2025,Rental payment [Trans:354502],,,"-$1,500.00","$46,657.00",1
09/22/2025,Apart from rent - maintenance [Date:20250922] [01:28],,,"-$1,800.00","$21,488.00",0
08/18/2025,SERVICE - AUTO [ID:20250818-180] [23:16],,,"-$1,750.00","$16,221.00",0
12/15/2024,Rent payment (apartment) [Payment:ZUB3],,,"-$1,400.00","$42,069.00",1
06/02/2025,Subscripton payment [Invoice:445889],,,"$1,000.00","$33,563.00",0
11/09/2024,Condo fee [ID:802466],,,"$1,300.00","$43,739.00",1
11/19/2024,Crib fee [Ref:VFHZ],,,-$675.00,"$15,281.00",1
07/12/2024,Building disbursement for residential unit [ID:20240712-410],,,"-$1,150.00","$3,832.00",1
04/14/2025,Recurring 1st week #263446,,,"-$1,700.00","$30,523.00",1
03/17/2024,End of month remittance [TXN:474273] [13:07],,,-$750.00,"$47,554.00",0
09/14/2024,Residential Services [Payment:O1DU] [20:09],,,"-$1,850.00","$31,808.00",0
11/24/2025,Place remittance [Invoice:870643],,,-$50.00,"$29,678.00",0
01/08/2025,Building fee for residential unit [Ref:AJN3],,,"-$2,150.00","$17,274.00",1
05/09/2024,Residential payment 15th auto #610959,,,"-$1,775.00","$33,664.00",1
05/14/2025,Complex payment for residential unit #963481,,,"-$3,050.00","$45,457.00",1
11/07/2025,Service Calendar month [Ref:818958],,,-$700.00,"$13,041.00",0
09/12/2025,Payment on 1st of month [Date:20250912],,,$850.00,"$45,447.00",0
03/22/2025,Excluding rent - HOA [ID:819183],,,-$850.00,"$13,690.00",0
08/14/2025,RENT>>PAYMENT [Ref:335228],,,"-$1,050.00","$23,097.00",1
05/28/2024,Rent payment (apartment) [Invoice:576084],,,"-$2,275.00","$12,916.00",1
06/19/2024,Servise payment [TXN:792305],,,-$75.00,"$46,414.00",0
10/25/2024,Recurring 1st week [Ref:383903],,,"-$2,650.00","$49,539.00",1
03/26/2025,Payment on 1st of month [Trans:479361],,,$350.00,"$12,592.00",0
01/15/2024,Building payment [TXN:555057],,,"-$2,250.00","$4,464.00",0
02/12/2025,Rent payment (apartment) [ID:520535],,,"-$1,150.00","$10,609.00",1
12/15/2024,Facility Solutions (Unit 34B) [ID:20241215-138],,,-$750.00,"$48,004.00",1
08/14/2025,Utility fee + tax #282662,,,-$800.00,"$9,074.00",0
03/26/2024,Utility fee + tax [ID:813989],,,"$1,400.00","$37,462.00",0
05/12/2025,Utilitie payment #859725,,,"-$2,400.00","$7,780.00",0
03/29/2025,Independent of rent - repair [Payment:B9D7],,,-$150.00,"$6,455.00",0
11/23/2025,Unit disbursement for residential unit [Payment:GNFX],,,"-$2,450.00","$2,840.00",1
12/21/2025,Lodgings remittance [Payment:W5NW],,,-$700.00,"$45,209.00",1
11/21/2025,Crib fee [TXN:436898],,,-$450.00,"$28,673.00",0
11/10/2025,Pad payment [Date:20251110] [21:54],,,-$350.00,"$19,434.00",0
04/05/2024,SERVICE - MONTHLY [Payment:22OU],,,$800.00,"$16,058.00",0
11/23/2025,RENT - APT 5B [Invoice:947600],,,"-$2,600.00","$6,793.00",1
06/12/2025,Other than rent - tax [Ref:321709],,,-$350.00,"$4,821.00",0
09/18/2024,Monthly payment to John [Payment:J1L9] [03:05],,,"-$1,400.00","$14,703.00",0
12/18/2025,Rent payment (apartment) [Payment:6VY0],,,-$900.00,"$45,395.00",1
03/19/2024,Periodic 30th payment [Invoice:958505] [01:56],,,"-$1,000.00","$4,428.00",1
05/31/2024,Unit letting [TXN:794888],,,"-$1,525.00","$33,462.00",1
07/15/2025,Servise payment [Ref:816270],,,-$100.00,"$31,833.00",0
04/11/2025,Residential payment First Monday [Ref:184519],,,"-$2,800.00","$12,812.00",1
05/27/2024,Excluding rent - HOA [Invoice:749774],,,$700.00,"$29,040.00",0
12/04/2024,Property Services LLC [Payment:JEV9],,,"-$2,250.00","$5,539.00",0
03/01/2025,Residential payment 1st of month [Date:20250301],,,"-$1,800.00","$46,572.00",1
06/12/2025,Rent payment  [Ref:2RIZ],,,"-$1,100.00","$35,602.00",1
01/03/2025,Property fee for residential unit [Payment:83BP],,,"-$1,075.00","$16,728.00",1
11/19/2024,Residential payment 5th monthly [Trans:571346],,,"-$1,900.00","$9,554.00",1
10/28/2025,Condo fee [ID:269818],,,-$900.00,"$43,513.00",1
05/13/2024,Rent payment  [ID:20240513-686] [22:56],,,"-$2,750.00","$13,190.00",1
12/21/2024,Distinct from rent - service [TXN:554042],,,-$450.00,"$24,176.00",0
12/12/2024,Wire to Thompson [Payment:6L8J],,,"-$2,650.00","$39,273.00",1
06/28/2024,Excluding rent - HOA [TXN:444287],,,"-$1,200.00","$3,359.00",0
04/03/2024,Place remittance [Trans:553604],,,"$1,250.00","$14,630.00",0
07/12/2025,Property remittance #594087 [16:58],,,"-$1,200.00","$13,199.00",0
04/04/2025,Other than rent - tax [Ref:GT3J],,,$800.00,"$1,475.00",0
05/06/2025,Semi-monthly residence [Ref:X1CL],,,"-$1,100.00","$30,682.00",0
08/11/2024,Debit to Anderson [TXN:955443],,,"-$1,100.00","$23,570.00",0
06/05/2024,Property Services LLC (Unit 27C) [Invoice:780776],,,"-$1,500.00","$31,025.00",1
01/03/2025,Unit letting [Payment:S49M] [08:32],,,"-$1,675.00","$31,161.00",1
11/18/2025,Complex charge [Trans:823290] [21:54],,,"-$1,250.00","$5,623.00",0
