Date,Description,Comments,Check Number,Amount,Balance,rent
11/05/2025,Residential payment 10th recurring,,,-$650.00,"$17,075.00",1
03/27/2024,FEE - RECURRING,,,-$650.00,"$12,829.00",0
01/25/2024,FEE - RECURRING,,,-$950.00,"$19,700.00",0
07/06/2024,ACH to Johnson LLC (Unit 27C),,,"-$1,200.00","$22,318.00",1
01/28/2024,Rent (missed auto),,,"-$1,900.00","$28,054.00",1
09/21/2024,Unit disbursement,,,-$75.00,"$39,406.00",0
05/19/2025,Strata payment,,,"-$1,900.00","$21,862.00",1
07/20/2025,Independent of rent - repair,,,-$50.00,"$2,220.00",0
07/21/2025,Service Quarterly,,,-$300.00,"$9,229.00",0
08/04/2025,Non-rent housing expense,,,"-$1,800.00","$10,330.00",0
07/07/2025,Service Monthly anniversary,,,"$1,200.00","$37,382.00",0
02/12/2024,Building Management,,,"$1,600.00","$1,035.00",0
05/08/2025,Payment to Wilson,,,"-$1,950.00","$14,943.00",1
02/16/2024,Unit Management,,,-$850.00,"$9,059.00",0
07/23/2025,Residential payment Last day,,,"-$1,400.00","$21,860.00",1
10/12/2025,Mid-month transfer,,,-$800.00,"$22,078.00",0
08/03/2024,Apart from rent - maintenance,,,"-$1,100.00","$1,134.00",0
01/05/2024,Service Quarterly,,,-$700.00,"$33,045.00",0
07/05/2025,Semi-monthly residence,,,"-$1,800.00","$45,014.00",0
11/19/2025,Periodic 30th payment,,,-$600.00,"$12,612.00",0
05/07/2024,Rent payment ,,,"-$2,200.00","$2,296.00",1
11/27/2025,Service 25th standing,,,-$100.00,"$48,042.00",0
08/27/2024,Residential payment 25th standing,,,-$750.00,"$47,140.00",1
01/08/2024,Periodic 30th payment,,,-$950.00,"$33,375.00",1
07/19/2025,First of month payment,,,"-$2,975.00","$9,404.00",1
05/10/2024,Premises Services,,,"-$2,600.00","$45,432.00",1
12/10/2025,Accommodation remittance including tax,,,"-$1,600.00","$1,128.00",1
10/18/2025,Utility fee + insurance,,,-$700.00,"$8,976.00",0
05/22/2025,Unit fee,,,"-$2,100.00","$21,725.00",0
02/05/2025,ACH to Johnson LLC,,,$625.00,"$28,775.00",1
09/12/2024,Property Services LLC,,,-$900.00,"$2,574.00",1
09/13/2024,Facility Solutions,,,-$300.00,"$22,862.00",0
03/15/2024,Rent(payment),,,"-$2,200.00","$38,941.00",1
03/28/2024,Residential payment 1st of month,,,"-$1,950.00","$46,440.00",1
05/10/2024,Ref: RES-UNIT-5B,,,-$750.00,"$29,301.00",1
04/14/2024,Abode payment plus insurance,,,-$750.00,"$27,324.00",1
09/24/2025,Rant remittance,,,-$675.00,"$29,056.00",1
12/13/2024,Monthly housing and utilities bundle,,,"-$2,300.00","$13,614.00",1
04/15/2024,Habitation remittance,,,"$2,975.00","$9,256.00",1
12/29/2024,Apart from rent - maintenance,,,"-$1,100.00","$4,964.00",0
11/15/2024,Strata payment,,,"-$1,850.00","$36,464.00",1
05/30/2024,Rent payment (apartment),,,"-$1,750.00","$1,529.00",1
02/28/2024,Periodic 30th payment,,,-$775.00,"$14,131.00",1
03/11/2024,Lease fee for residential unit,,,"-$2,300.00","$38,906.00",1
09/22/2025,Property Services LLC,,,-$750.00,"$1,242.00",0
12/10/2025,Domicile Solutions (Unit 31C),,,"-$1,775.00","$13,074.00",1
01/06/2025,Real estate management fee,,,-$700.00,"$20,043.00",1
07/18/2024,Maintenance fee + tax,,,"-$1,650.00","$18,170.00",0
12/13/2024,RENT - DO NOT DELETE,,,"-$1,225.00","$18,156.00",1
01/22/2024,RENT PAYMENT (MONTHLY),,,"-$1,900.00","$14,778.00",1
04/12/2025,End of month remittance,,,$500.00,"$41,842.00",0
12/29/2025,Debit to Anderson,,,-$150.00,"$25,785.00",0
11/21/2024,Crib fee,,,-$300.00,"$39,490.00",0
07/02/2025,Debit to Anderson,,,-$750.00,"$34,309.00",1
