Date,Description,Comments,Check Number,Amount,Balance,rent
12/27/2024,DEP CASH   NORTH HILLS OFFICE,,,$710.00,"$10,635.05",0
10/16/2025,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,,,"$3,393.79","$16,202.16",0
11/25/2025,ECK VENMO 3264681992  BR PAYMENT,,,-$6.64,"$9,943.25",0
10/05/2025,ZEL ZELLE TO LIU BAOZHU,,,"-$1,756.00","$15,034.01",1
02/19/2025,ECK VENMO 3264681992  BR PAYMENT,,,-$215.00,"$4,396.22",0
03/31/2025,INT INTEREST CREDIT,,,$0.99,"$10,748.69",0
06/20/2025,DIR VENMO 5264681992  BR CASHOUT,,,$490.43,"$1,338.92",0
04/08/2025,ECK VENMO 3264681992  BR PAYMENT,,,-$7.63,"$11,344.13",0
02/20/2025,ECK AMEX EPAYMENT 0005000008  BR ACH PMT,,,-$19.41,"$4,376.81",0
10/04/2024,ZEL ZELLE TO LIU BAOZHU,,,"-$1,650.00","$14,524.61",1
07/25/2025,ECK VENMO 3264681992  BR PAYMENT,,,-$86.87,"$2,803.00",0
06/16/2025,ECK VENMO 3264681992  BR PAYMENT,,,-$32.00,"$3,188.49",0
05/19/2025,ECK VENMO 3264681992  BR PAYMENT,,,-$140.00,"$13,136.58",0
12/15/2025,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,,,"-$4,354.29","$11,005.16",0
03/06/2025,ECK VENMO 3264681992  BR PAYMENT,,,-$12.84,"$12,559.59",0
03/31/2025,ECK VENMO 3264681992  BR PAYMENT,,,-$7.31,"$10,747.70",0
08/22/2025,ECK VENMO 3264681992  BR PAYMENT,,,-$6.48,"$5,287.65",0
09/18/2025,DIR FEDERAL NATIONAL 9111111101  BR PAYROLL,,,"$3,393.80","$10,492.30",0
09/18/2025,DIR VENMO 5264681992  BR CASHOUT,,,"$2,626.90","$7,098.50",0
12/10/2025,DIR BENEFIT PAYMENT N943351864  BR EDI PYMNTS,,,$500.00,"$12,062.25",0
03/11/2025,POS MC PLCB NEW ECOM 46  BR 7177837637 PA,,,-$117.68,"$12,113.19",0
08/15/2025,ECK VENMO 3264681992  BR PAYMENT,,,-$8.28,"$5,173.57",0
10/27/2025,ECK AMEX EPAYMENT 0005000008  BR ACH PMT,,,"-$7,241.62","$8,958.85",0
06/20/2025,ECK VENMO 3264681992  BR PAYMENT,,,-$7.09,"$1,317.05",0
01/22/2025,DIR FANNIE MAE 9111111101  BR DIRECT DEP,,,"$1,838.24","$12,512.57",0
05/19/2025,ECK VENMO 3264681992  BR PAYMENT,,,-$86.00,"$13,050.58",0
01/07/2025,DIR PTC EZ PASS AUTO 0383913206  BR PAYMENT,,,-$70.00,"$13,044.91",0
12/06/2024,ZEL ZELLE TO LIU BAOZHU,,,"-$1,650.00","$11,735.43",1
