Date,Description,Comments,Check Number,Amount,Balance,rent
01/26/2024,Rant remittance,,,"-$1,425.00","$45,348.00",1
08/27/2025,Rent payment ,,,-$825.00,"$40,453.00",1
07/28/2025,Payment on 1st of month,,,"-$2,075.00","$19,231.00",1
06/12/2024,Habitation remittance with utilities,,,"-$1,525.00","$23,059.00",1
04/04/2024,Property payment for residential unit,,,"-$1,900.00","$3,847.00",1
07/03/2025,Quarterly dwelling,,,"-$1,650.00","$41,535.00",0
08/14/2025,ACH to Johnson LLC,,,-$75.00,"$6,229.00",0
04/13/2024,Lease payment for residential unit,,,"-$1,825.00","$14,730.00",1
12/19/2025,Service Quarterly,,,"-$1,600.00","$17,043.00",0
04/18/2025,Complex charge for residential unit,,,"-$1,700.00","$3,103.00",1
02/14/2025,Zelle to Davis,,,"-$1,400.00","$43,954.00",0
02/09/2025,CHARGE - MONTHLY,,,"-$2,800.00","$49,956.00",0
08/20/2025,Complex charge,,,-$150.00,"$4,087.00",0
06/05/2024,Unit payment including maintenance,,,-$875.00,"$31,674.00",1
07/20/2025,UTILITY - AUTO,,,-$125.00,"$18,486.00",0
04/24/2024,Wire to Thompson,,,"$1,550.00","$12,708.00",0
10/02/2025,Payment on 1st of month,,,"-$1,325.00","$11,587.00",1
09/05/2025,Unit payment for residential unit,,,-$950.00,"$21,153.00",1
02/29/2024,Premises Services,,,-$875.00,"$35,911.00",1
05/11/2024,Abode payment plus insurance,,,"-$1,250.00","$40,753.00",1
08/04/2024,Membership Monthly anniversary,,,-$250.00,"$45,019.00",0
03/24/2025,CHARGE - MONTHLY,,,-$300.00,"$39,555.00",0
08/25/2025,ACH to Johnson LLC,,,-$725.00,"$3,058.00",1
03/13/2024,Rental payment,,,-$900.00,"$38,423.00",0
09/05/2024,Subscripton payment,,,"-$2,100.00","$27,941.00",0
02/25/2024,Utility fee + tax,,,-$600.00,"$8,161.00",0
07/15/2024,Building Management (Unit 12B),,,"-$2,225.00","$5,940.00",1
07/17/2025,Payment on 1st of month,,,"$1,200.00","$16,491.00",0
02/20/2025,Rent payment ,,,"-$1,900.00","$1,141.00",1
09/28/2024,Subscription Monthly anniversary,,,$400.00,"$37,422.00",0
06/07/2024,Zelle to Davis,,,-$75.00,"$21,552.00",0
02/21/2024,Strata payment,,,"-$2,575.00","$34,281.00",1
07/09/2024,Habitation remittance,,,"-$1,475.00","$38,334.00",1
08/15/2025,Pad payment,,,-$875.00,"$38,042.00",1
09/24/2024,Recurring 1st week,,,-$450.00,"$45,019.00",0
04/13/2025,Unit charge,,,$50.00,"$7,552.00",0
07/04/2025,Payment to Wilson (Unit 23A),,,"-$1,450.00","$29,716.00",1
09/18/2025,Membership Monthly anniversary,,,"-$2,800.00","$44,475.00",0
05/17/2024,Semi-monthly residence (Unit 36A),,,"-$1,550.00","$48,029.00",1
07/27/2024,Maintenance fee incl. services,,,$900.00,"$4,329.00",0
10/11/2025,Rent payment (primary residence),,,-$700.00,"$9,573.00",1
06/14/2024,Subscripton payment,,,$850.00,"$46,286.00",0
07/12/2025,Landlord services payment,,,"-$3,050.00","$9,352.00",1
11/11/2024,Unit fee for residential unit,,,"-$1,825.00","$44,708.00",1
12/28/2024,R3nt fee,,,"-$1,075.00","$12,603.00",1
01/26/2024,Quarterly dwelling,,,-$450.00,"$44,903.00",0
09/30/2024,Recurring 1st week (Unit 3B),,,"-$1,425.00","$31,166.00",1
11/08/2024,SERVICE - MONTHLY,,,-$50.00,"$19,258.00",0
10/12/2024,Lease charge for residential unit,,,"-$2,000.00","$2,808.00",1
09/24/2024,Payment to Wilson (Unit 39B),,,"-$1,850.00","$34,516.00",1
01/29/2025,RENT - DO NOT DELETE,,,"-$1,500.00","$1,110.00",1
01/07/2025,Rent payment (apartment),,,"-$1,800.00","$9,167.00",1
06/03/2025,Property remittance,,,-$450.00,"$9,341.00",0
03/06/2025,Unit payment including maintenance,,,"-$1,300.00","$27,612.00",1
11/07/2024,Residential Services,,,"-$1,775.00","$45,277.00",1
06/07/2025,Rent payment (apartment),,,"-$1,200.00","$44,506.00",1
04/05/2024,SERVICE - AUTO,,,-$400.00,"$2,600.00",0
09/07/2024,Residential payment Semi-monthly,,,-$875.00,"$42,272.00",1
12/14/2025,Property fee for residential unit,,,"-$1,425.00","$1,363.00",1
03/11/2025,End of month remittance,,,"-$2,625.00","$17,331.00",1
04/12/2025,Payment ref: HOUSING-,,,"-$2,650.00","$30,004.00",1
07/15/2025,Excluding rent - HOA,,,-$900.00,"$42,789.00",0
06/17/2025,Besides rent - insurance,,,-$350.00,"$16,367.00",0
12/09/2024,Unit charge,,,"-$1,950.00","$47,295.00",0
03/06/2024,Rent payment (primary residence),,,"-$2,825.00","$14,555.00",1
02/02/2025,Membership Semi-monthly,,,-$50.00,"$25,928.00",0
01/07/2024,Subscription 20th periodic,,,-$700.00,"$40,534.00",0
05/14/2025,Residential Services,,,"-$1,950.00","$27,497.00",1
04/23/2025,Residential payment Semi-monthly,,,"$2,750.00","$39,790.00",1
03/26/2024,Apartment payment + parking,,,"-$2,225.00","$25,844.00",1
08/04/2024,Additional to rent - fee,,,$600.00,"$28,627.00",0
03/24/2024,Distinct from rent - service,,,-$75.00,"$43,607.00",0
10/29/2025,Tenancy remittance,,,"-$1,425.00","$41,719.00",1
09/01/2024,Dwelling remittance,,,"-$2,975.00","$17,793.00",1
06/20/2024,Utility fee + tax,,,$650.00,"$38,735.00",0
02/10/2025,Service 15th auto,,,"-$1,400.00","$7,678.00",0
12/01/2025,Utility fee incl. services,,,-$75.00,"$25,285.00",0
06/02/2025,Monthly housing and utilities bundle,,,"-$2,125.00","$24,736.00",1
12/25/2025,Wire to Thompson,,,"-$1,000.00","$36,269.00",0
04/21/2025,Apart from rent - maintenance,,,-$350.00,"$6,679.00",0
04/06/2025,Building Management,,,"-$1,400.00","$2,880.00",0
11/28/2024,Zelle to Davis,,,-$500.00,"$40,069.00",0
07/23/2025,Zelle to Davis,,,-$100.00,"$37,384.00",0
12/08/2025,Rent payment (apartment),,,"-$2,425.00","$7,098.00",1
08/14/2024,Besides rent - insurance,,,-$400.00,"$37,272.00",0
03/11/2025,Subscription Bi-weekly,,,-$500.00,"$17,475.00",0
05/03/2024,Ren tpayment,,,"$1,000.00","$46,230.00",1
07/15/2024,Facility Solutions (Unit 38C),,,"-$1,600.00","$20,414.00",1
01/04/2025,Monthly payment to John,,,"-$1,100.00","$4,573.00",1
12/15/2025,Subscription Quarterly,,,-$125.00,"$31,762.00",0
03/27/2025,Unit fee,,,-$350.00,"$5,282.00",0
05/18/2025,Payment on 1st of month,,,"$3,000.00","$6,582.00",0
05/01/2024,Unit letting,,,"-$1,500.00","$30,014.00",1
08/25/2025,Membership 20th periodic,,,$950.00,"$14,617.00",0
09/27/2024,Apartment payment + parking,,,"-$1,425.00","$11,258.00",1
02/22/2025,Rent payment (apartment),,,"-$2,400.00","$19,881.00",1
12/20/2025,UTILITY - AUTO,,,-$300.00,"$41,963.00",0
03/11/2025,Accommodation disbursement,,,"-$1,100.00","$5,679.00",1
06/18/2024,Rent(payment),,,"-$3,000.00","$31,716.00",1
12/17/2025,Other than rent - tax,,,"-$1,000.00","$40,192.00",0
03/18/2025,Rent(payment),,,"-$1,500.00","$45,190.00",1
11/19/2025,RENT>>PAYMENT,,,-$725.00,"$43,697.00",1
10/11/2024,Premises Services,,,-$700.00,"$6,979.00",0
12/22/2024,Additional to rent - fee,,,-$125.00,"$46,460.00",0
10/22/2024,HOA fee incl. services,,,-$75.00,"$22,186.00",0
02/17/2025,RENT - APT 5B,,,"-$2,825.00","$13,293.00",1
09/29/2025,Subscripton payment,,,-$75.00,"$19,876.00",0
12/16/2025,NOT rent - utilities,,,"-$1,800.00","$11,379.00",0
07/18/2025,Residential Services,,,-$100.00,"$8,435.00",0
04/30/2024,Service fee + insurance,,,-$400.00,"$32,621.00",0
09/06/2024,Excluding rent - HOA,,,"-$2,600.00","$9,946.00",0
10/09/2024,R3nt fee,,,"-$1,800.00","$1,168.00",1
11/01/2024,CHARGE - MONTHLY,,,-$800.00,"$37,170.00",0
04/11/2025,Service Calendar month,,,-$300.00,"$27,920.00",0
11/21/2024,Rent ;payment,,,"$1,975.00","$43,730.00",1
05/22/2025,Residential payment 10th recurring,,,"-$2,650.00","$7,577.00",1
04/12/2024,Condo fee,,,-$50.00,"$43,911.00",0
03/17/2024,Rent payment (primary residence),,,"-$1,800.00","$43,587.00",1
12/02/2024,RENT|AUTO,,,"-$1,950.00","$32,978.00",1
09/24/2025,My apartment payment,,,"-$1,400.00","$7,451.00",1
03/30/2025,Remittance to Moore,,,-$750.00,"$20,226.00",1
01/18/2025,Besides rent - insurance,,,"-$1,000.00","$12,800.00",0
06/28/2024,Building administration fee,,,"$1,475.00","$10,379.00",1
04/17/2025,Premises fee with service charge,,,"-$1,500.00","$31,490.00",1
11/24/2025,Tenancy payment,,,$800.00,"$20,605.00",0
12/07/2025,Bi-weekly housing,,,"-$1,950.00","$7,989.00",0
01/25/2025,Pad payment,,,"-$1,650.00","$44,137.00",1
10/08/2024,Bi-weekly housing,,,-$75.00,"$19,756.00",0
09/13/2025,RENT - DO NOT DELETE,,,"-$1,400.00","$48,246.00",1
10/05/2025,Residential occupancy fee,,,"-$1,675.00","$24,911.00",1
04/02/2024,Residential payment 25th standing,,,"-$2,075.00","$36,350.00",1
06/27/2025,Rental payment,,,-$200.00,"$32,578.00",0
12/12/2024,CHARGE - MONTHLY,,,-$150.00,"$45,323.00",0
07/24/2025,Property fee,,,-$50.00,"$25,155.00",0
08/21/2025,Property payment,,,-$125.00,"$41,602.00",0
09/16/2025,ACH to Johnson LLC,,,"$1,800.00","$20,804.00",0
04/29/2024,Recurring transfer to Smith,,,-$400.00,"$16,387.00",0
02/01/2025,Rent payment (apartment),,,"-$2,825.00","$48,618.00",1
02/28/2025,Premises fee with service charge,,,"-$2,100.00","$25,283.00",1
03/30/2025,Rent payment ,,,"$1,800.00","$25,073.00",1
03/03/2024,Complex payment,,,-$125.00,"$7,007.00",0
10/19/2025,Monthly housing and utilities bundle,,,-$750.00,"$9,252.00",1
03/11/2024,RENT|AUTO,,,"-$1,400.00","$16,269.00",1
